StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q3,Q19,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1,Q1_13_TEXT,Q1,Q2,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q15_1,Q16_1,Q17_1,Q18_1,Q18_2,Q18_3
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"What is your study participant ID (e.g., P0145)? You can find this information in your participant portfolio.",What are the last 4 digits of the phone number used to enroll in this study?,"Read each statement carefully and indicate your degree of agreement on the scale provided.
In responding, please be completely candid. - If I believed I was having a mental breakdown, my first inclination would be to get professional attention.","Read each statement carefully and indicate your degree of agreement on the scale provided.
In responding, please be completely candid. - The idea of talking about problems with a psychologist strikes me as a poor way to get rid of emotional conflicts.","Read each statement carefully and indicate your degree of agreement on the scale provided.
In responding, please be completely candid. - If I were experiencing a serious emotional crisis at this point in my life, I would be confident that I could find relief in psychotherapy.","Read each statement carefully and indicate your degree of agreement on the scale provided.
In responding, please be completely candid. - There is something admirable in the attitude of a person who is willing to cope with his or her conflicts and fears without resorting to professional help.","Read each statement carefully and indicate your degree of agreement on the scale provided.
In responding, please be completely candid. - I would want to get psychological help if I were worried or upset for a long period of time.","Read each statement carefully and indicate your degree of agreement on the scale provided.
In responding, please be completely candid. - I might want to have psychological counseling in the future.","Read each statement carefully and indicate your degree of agreement on the scale provided.
In responding, please be completely candid. - A person with an emotional problem is not likely to solve it alone; he or she is likely to solve it with professional help.","Read each statement carefully and indicate your degree of agreement on the scale provided.
In responding, please be completely candid. - Considering the time and expense involved in psychotherapy, it would have doubtful value for a person like me.","Read each statement carefully and indicate your degree of agreement on the scale provided.
In responding, please be completely candid. - A person should work out his or her own problems; getting psychological counseling would be a last resort.","Read each statement carefully and indicate your degree of agreement on the scale provided.
In responding, please be completely candid. - Personal and emotional troubles, like many things, tend to work out by themselves.",Below is a list of people who you might seek help from if you were experiencing a personal or emotional problem. Select any of these who you have gone to for advice or help in the past week for a personal or emotional problem. - Selected Choice,Below is a list of people who you might seek help from if you were experiencing a personal or emotional problem. Select any of these who you have gone to for advice or help in the past week for a personal or emotional problem. - Someone else not listed above (please describe who that was). - Text,How much do you like college?,"If you could start over again, would you go to the same institution you are now attending?","In your experience at this institution during the last week, about how often have you done each of the following? - Talked with your instructor about information related to a course you were taking (grades, make-up work, assignments, etc.)?","In your experience at this institution during the last week, about how often have you done each of the following? - Discussed your academic program or course selection with a faculty member?","In your experience at this institution during the last week, about how often have you done each of the following? - Discussed ideas for a term paper or other class project with a faculty member?","In your experience at this institution during the last week, about how often have you done each of the following? - Discussed your career plans and ambitions with a faculty member?","In your experience at this institution during the last week, about how often have you done each of the following? - Worked harder as a result of feedback from an instructor?","In your experience at this institution during the last week, about how often have you done each of the following? - Socialized with a faculty member outside of class (had a snack or soft drink, etc.)?","In your experience at this institution during the last week, about how often have you done each of the following? - Participated with other students in a discussion with one or more faculty members outside of class?","In your experience at this institution during the last week, about how often have you done each of the following? - Asked your instructor for comments and criticisms about your academic performance?","In your experience at this institution during the last week, about how often have you done each of the following? - Worked harder than you thought you could to meet an instructor's expectations and standards?","In your experience at this institution during the last week, about how often have you done each of the following? - Worked with a faculty member on a research project?","In your experience at this institution during the last week, about how often have you done each of the following? - Attended a meeting of a campus club, organization, or student government group.","In your experience at this institution during the last week, about how often have you done each of the following? - Worked on a campus committee, student organization, or project (publications, student government, special event, etc.).","In your experience at this institution during the last week, about how often have you done each of the following? - Worked on an off-campus committee, organization, or project (civic group, church group, community event, etc.).","In your experience at this institution during the last week, about how often have you done each of the following? - Met with a faculty member or staff advisor to discuss the activities of a group or organization.","In your experience at this institution during the last week, about how often have you done each of the following? - Managed or provided leadership for a club or organization, on or off the campus.","In your experience at this institution during the last week, about how often have you done each of the following? - Played a team sport (intramural, club, intercollegiate)","In your experience at this institution during the last week, about how often have you done each of the following? - Followed a regular schedule of exercise or practice for some recreational","In your experience at this institution during the last week, about how often have you done each of the following? - Used a campus lounge to relax or study by yourself.","In your experience at this institution during the last week, about how often have you done each of the following? - Met other students at some campus location (campus center, etc.) for a discussion.","In your experience at this institution during the last week, about how often have you done each of the following? - Attended a cultural or social event in the campus center or other campus location.","In your experience at this institution during the last week, about how often have you done each of the following? - Went to a lecture or panel discussion.","In your experience at this institution during the last week, about how often have you done each of the following? - Used a campus learning lab or center to improve study or academic skills (reading, writing, etc.).","In your experience at this institution during the last week, about how often have you done each of the following? - Used campus recreational facilities (pool, fitness equipment, courts, etc.).",Relationships with other students:,Relationships with administrative personnel and offices:,Relationships with faculty members:,Rate your agreement with the statements below based on your experiences as a student at USF. - I see myself as a part of the campus community.,Rate your agreement with the statements below based on your experiences as a student at USF. - I feel that I am a member of the campus community.,Rate your agreement with the statements below based on your experiences as a student at USF. - I feel a sense of belonging to the campus community.
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID1214092730_1""}","{""ImportId"":""QID1214092730_2""}","{""ImportId"":""QID1214092730_3""}","{""ImportId"":""QID1214092730_4""}","{""ImportId"":""QID1214092730_5""}","{""ImportId"":""QID1214092730_6""}","{""ImportId"":""QID1214092730_7""}","{""ImportId"":""QID1214092730_8""}","{""ImportId"":""QID1214092730_9""}","{""ImportId"":""QID1214092730_10""}","{""ImportId"":""QID1214092734""}","{""ImportId"":""QID1214092734_13_TEXT""}","{""ImportId"":""QID1214092739""}","{""ImportId"":""QID1214092740""}","{""ImportId"":""QID1214092746_1""}","{""ImportId"":""QID1214092746_2""}","{""ImportId"":""QID1214092746_3""}","{""ImportId"":""QID1214092746_4""}","{""ImportId"":""QID1214092746_5""}","{""ImportId"":""QID1214092746_6""}","{""ImportId"":""QID1214092746_7""}","{""ImportId"":""QID1214092746_8""}","{""ImportId"":""QID1214092746_9""}","{""ImportId"":""QID1214092746_10""}","{""ImportId"":""QID1214092747_1""}","{""ImportId"":""QID1214092747_2""}","{""ImportId"":""QID1214092747_3""}","{""ImportId"":""QID1214092747_4""}","{""ImportId"":""QID1214092747_5""}","{""ImportId"":""QID1214092747_7""}","{""ImportId"":""QID1214092747_8""}","{""ImportId"":""QID1214092748_1""}","{""ImportId"":""QID1214092748_2""}","{""ImportId"":""QID1214092748_3""}","{""ImportId"":""QID1214092748_4""}","{""ImportId"":""QID1214092748_5""}","{""ImportId"":""QID1214092748_6""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}"
4/24/2023 12:11,4/24/2023 12:16,IP Address,100,285,TRUE,"Monday, April 24, 2023",R_24AXptW2yLKyk8I,anonymous,EN,1,,0,0,,P0003,,Partly Disagree,Disagree,Partly Agree,Partly Disagree,Partly Agree,Partly Agree,Partly Agree,Partly Agree,Partly Disagree,Disagree,"Partner (e.g. significant other, boyfriend or girlfriend),Friend (not related to you),Relative/Family Member",,Like a great deal,Might or might not,Never,Never,Often,Never,Often,Never,Occasionally,Often,Occasionally,Very often,Never,Never,Never,Never,Never,,,"I was on campus last week, but never",Occasionally,"I was on campus last week, but never",Occasionally,"I was on campus last week, but never","I was on campus last week, but never",4,6,6,5,6,6
5/5/2023 12:15,5/5/2023 12:23,IP Address,100,440,TRUE,"Friday, May 5, 2023",R_3QRdeILzGcxrzwa,anonymous,EN,1,,0,0,,P0003,,Partly Agree,Disagree,Partly Agree,Partly Disagree,Partly Agree,Agree,Partly Agree,Partly Disagree,Partly Agree,Partly Disagree,"Partner (e.g. significant other, boyfriend or girlfriend),Friend (not related to you),Relative/Family Member",,Like a great deal,Might or might not,Never,Often,Never,Never,Often,Never,Never,Occasionally,Often,Very often,Never,Never,Never,Never,Never,,,"I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never",Often,5,5,6,8,7,6
5/9/2023 10:42,5/9/2023 10:48,IP Address,100,349,TRUE,"Tuesday, May 9, 2023",R_3dX756gn8EpSEqF,anonymous,EN,1,,0,0,,P0022,,Disagree,Disagree,Partly Agree,Partly Disagree,Agree,Partly Disagree,Partly Agree,Partly Disagree,Disagree,Partly Disagree,"Friend (not related to you),Relative/Family Member,Spiritual or Religious Adviser/Leader",,Neither like nor dislike,Might or might not,Very often,Very often,Very often,Occasionally,Very often,Never,Occasionally,Often,Very often,Never,Very often,Occasionally,Very often,Occasionally,Very often,,,Very often,Occasionally,"I was on campus last week, but never","I was on campus last week, but never",Often,Very often,2,2,5,2,2,1
5/12/2023 15:08,5/12/2023 15:11,IP Address,100,169,TRUE,"Friday, May 12, 2023",R_1CdO6JcsKIhoDec,anonymous,EN,1,,0,0,,P0003,,Partly Agree,Partly Disagree,Partly Agree,Partly Disagree,Partly Disagree,Agree,Partly Disagree,Partly Disagree,Disagree,Partly Disagree,"Partner (e.g. significant other, boyfriend or girlfriend),Friend (not related to you),Relative/Family Member",,Like somewhat,Might or might not,Never,Never,Never,Never,Occasionally,Often,Never,Never,Never,Very often,Never,Never,Never,Never,Never,,,"I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never",5,5,5,9,9,9
5/14/2023 21:47,5/14/2023 21:53,IP Address,100,350,TRUE,"Sunday, May 14, 2023",R_1lmbMKnKMHji3tr,anonymous,EN,0.899999976,,0,0,,P0011,3270,Disagree,Partly Disagree,Partly Disagree,Partly Disagree,Partly Agree,Partly Agree,Partly Disagree,Agree,Partly Agree,Partly Agree,"Partner (e.g. significant other, boyfriend or girlfriend),Friend (not related to you),Roommate,Relative/Family Member",,Like somewhat,Probably yes,Occasionally,Occasionally,Never,Never,Often,Never,Occasionally,Never,Often,Never,Never,Occasionally,Never,Never,Never,,,Often,Often,Occasionally,Often,"I was on campus last week, but never","I was on campus last week, but never",6,5,5,8,6,6
5/14/2023 22:19,5/14/2023 22:24,IP Address,100,333,TRUE,"Sunday, May 14, 2023",R_3FJ0dJxXqkgkY0F,anonymous,EN,1,,0,0,,P0014,8349,Partly Agree,Partly Disagree,Partly Agree,Partly Disagree,Partly Agree,Partly Agree,Partly Disagree,Partly Agree,Partly Agree,Partly Disagree,"Partner (e.g. significant other, boyfriend or girlfriend),Relative/Family Member",,Like a great deal,Definitely yes,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,"I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never","I was on campus last week, but never",1,3,3,6,7,6
5/15/2023 14:10,5/15/2023 14:20,IP Address,100,547,TRUE,"Monday, May 15, 2023",R_qwN0aY9F812Phuh,anonymous,EN,1,,0,0,,P0031,3516,Partly Disagree,Disagree,Partly Agree,Partly Agree,Agree,Agree,Partly Agree,Disagree,Partly Disagree,Partly Agree,"Partner (e.g. significant other, boyfriend or girlfriend),Friend (not related to you),Relative/Family Member",,Like somewhat,Might or might not,Never,Often,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Never,,,Often,"I was on campus last week, but never","I was on campus last week, but never",Occasionally,"I was on campus last week, but never","I was on campus last week, but never",5,4,4,7,6,7
5/19/2023 11:13,5/19/2023 11:16,IP Address,100,150,TRUE,"Friday, May 19, 2023",R_sbaY3fepuYjfK2l,anonymous,EN,1,TRUE,100,0,5/12/2023 19:08,P0003,5886,Partly Disagree,Partly Disagree,Partly Agree,Partly Disagree,Partly Agree,Agree,Partly Agree,Partly Disagree,Disagree,Partly Disagree,"Partner (e.g. significant other, boyfriend or girlfriend),Friend (not related to you),Relative/Family Member",,Like a great deal,Might or might not,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,I wasn't on campus last week,I wasn't on campus last week,I wasn't on campus last week,I wasn't on campus last week,I wasn't on campus last week,I wasn't on campus last week,5,6,6,9,9,7
5/19/2023 16:41,5/19/2023 16:46,IP Address,100,323,TRUE,"Friday, May 19, 2023",R_1jeKAHtLl2L8szG,anonymous,EN,1,TRUE,100,0,5/15/2023 1:47,P0011,3270,Partly Agree,Disagree,Agree,Partly Disagree,Agree,Agree,Partly Disagree,Partly Disagree,Partly Disagree,Partly Disagree,"Friend (not related to you),Roommate,Relative/Family Member,Professor",,Like a great deal,Definitely yes,Occasionally,Often,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Very often,Often,"I was on campus last week, but never",Very often,"I was on campus last week, but never","I was on campus last week, but never",6,4,5,8,8,8
5/19/2023 17:55,5/19/2023 18:04,IP Address,100,532,TRUE,"Friday, May 19, 2023",R_3haM6m2wlA2iAhc,anonymous,EN,1,,0,0,,P0031,3516,Partly Disagree,Partly Disagree,Partly Agree,Partly Agree,Agree,Agree,Partly Agree,Partly Disagree,Partly Agree,Partly Agree,"Partner (e.g. significant other, boyfriend or girlfriend),Relative/Family Member",,Like somewhat,Might or might not,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Occasionally,Occasionally,Occasionally,Never,I wasn't on campus last week,I wasn't on campus last week,I wasn't on campus last week,I wasn't on campus last week,I wasn't on campus last week,I wasn't on campus last week,4,3,5,7,6,7
5/19/2023 20:32,5/19/2023 20:38,IP Address,100,341,TRUE,"Friday, May 19, 2023",R_1FhVj5k7kRf5if4,anonymous,EN,0.899999976,TRUE,100,0,5/15/2023 2:19,P0014,8349,Partly Disagree,Disagree,Partly Agree,Partly Disagree,Agree,Partly Agree,Partly Agree,Partly Disagree,Partly Agree,Partly Agree,"Partner (e.g. significant other, boyfriend or girlfriend)",,Like a great deal,Definitely yes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,"I was on campus last week, but never","I was on campus last week, but never",Very often,"I was on campus last week, but never","I was on campus last week, but never",1,2,4,7,6,6
5/22/2023 14:26,5/22/2023 14:31,IP Address,100,313,TRUE,"Monday, May 22, 2023",R_1RhUUYSgo4LIvVD,anonymous,EN,1,,0,0,,P0027,5568,Partly Disagree,Partly Agree,Partly Disagree,Partly Agree,Partly Disagree,Partly Agree,Partly Disagree,Partly Disagree,Partly Disagree,Partly Disagree,"Partner (e.g. significant other, boyfriend or girlfriend),Friend (not related to you),Relative/Family Member",,Like somewhat,Probably yes,Occasionally,Often,Occasionally,Very often,Often,Often,Often,Occasionally,Often,Often,Very often,Occasionally,Occasionally,Often,Often,Very often,Often,"I was on campus last week, but never",Occasionally,Often,Very often,Often,Often,6,5,5,7,6,7
5/24/2023 0:52,5/24/2023 0:59,IP Address,100,398,TRUE,"Wednesday, May 24, 2023",R_Orq5G4t9zdbiwWR,anonymous,EN,1,,0,0,,P0013,3708,Partly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Partly Agree,Partly Disagree,Partly Agree,"Partner (e.g. significant other, boyfriend or girlfriend),Relative/Family Member,Off campus mental health provider (e.g. counselor, psychologist, psychiatrist),Off campus General Health Practitioner (Primary Care Provider)",,Like somewhat,Probably yes,Occasionally,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,"I was on campus last week, but never",Often,"I was on campus last week, but never","I was on campus last week, but never",5,5,4,7,7,6
